@relation intent


@attribute speed1 numeric
@attribute speed2 numeric
@attribute speed3 numeric
@attribute speed4 numeric
@attribute speed5 numeric
@attribute speed6 numeric
@attribute speed7 numeric
@attribute speed8 numeric
@attribute speed9 numeric
@attribute speed10 numeric
@attribute speed11 numeric
@attribute speed12 numeric
@attribute speed13 numeric
@attribute speed14 numeric
@attribute speed15 numeric
@attribute speed16 numeric
@attribute speed17 numeric
@attribute speed18 numeric
@attribute speed19 numeric
@attribute speed20 numeric
@attribute speed21 numeric
@attribute speed22 numeric
@attribute speed23 numeric
@attribute speed24 numeric
@attribute speed25 numeric
@attribute speed26 numeric
@attribute speed27 numeric
@attribute speed28 numeric
@attribute speed29 numeric
@attribute speed30 numeric
@attribute stops {yes, no}


@data
21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.61, 21.55, 21.45, no
18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.79, 18.68, 18.56, 18.44, 18.33, 18.21, 18.09, 17.97, 17.85, yes
21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, no
18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.53, 18.44, 18.34, 18.24, 18.13, 18.03, 17.93, 17.83, 17.72, 17.62, yes
18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.64, 18.58, 18.53, 18.47, 18.42, 18.36, 18.31, 18.25, 18.20, yes
19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.64, 19.61, 19.52, 19.43, 19.33, 19.24, no
20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.96, 20.93, 20.82, 20.71, no
18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.95, 18.85, 18.75, 18.65, 18.55, 18.44, 18.34, 18.24, yes
18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.68, 18.64, 18.58, 18.53, 18.47, 18.42, 18.36, 18.31, 18.25, 18.20, yes
20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.30, 20.20, 20.11, no
21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.37, 21.30, no
19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.89, 19.76, 19.62, 19.49, 19.36, 19.22, yes
19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.73, 19.70, 19.61, 19.53, 19.44, 19.35, no
19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.94, 19.89, 19.76, 19.62, 19.49, 19.36, 19.22, yes
21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.43, 21.35, 21.27, no
20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.84, 20.83, 20.75, no
21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.43, 21.35, 21.27, no
21.93, 21.93, 21.93, 21.93, 21.93, 21.93, 21.93, 21.93, 21.93, 21.93, 21.87, 21.76, 21.65, 21.54, 21.43, 21.31, 21.20, 21.09, 20.98, 20.87, 20.76, 20.65, 20.54, 20.43, 20.32, 20.21, 20.10, 19.98, 19.87, 19.76, no
20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.82, 20.75, 20.66, no
19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.62, 19.59, 19.48, 19.37, 19.26, 19.15, 19.04, no
