@relation intent


@attribute speed1 numeric
@attribute speed2 numeric
@attribute speed3 numeric
@attribute speed4 numeric
@attribute speed5 numeric
@attribute speed6 numeric
@attribute speed7 numeric
@attribute speed8 numeric
@attribute speed9 numeric
@attribute speed10 numeric
@attribute speed11 numeric
@attribute speed12 numeric
@attribute speed13 numeric
@attribute speed14 numeric
@attribute speed15 numeric
@attribute speed16 numeric
@attribute speed17 numeric
@attribute speed18 numeric
@attribute speed19 numeric
@attribute speed20 numeric
@attribute speed21 numeric
@attribute speed22 numeric
@attribute speed23 numeric
@attribute speed24 numeric
@attribute speed25 numeric
@attribute speed26 numeric
@attribute speed27 numeric
@attribute speed28 numeric
@attribute speed29 numeric
@attribute speed30 numeric
@attribute stops {yes, no}


@data
23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 23.05, 22.96, 22.84, 22.73, 22.61, 22.50, 22.38, 22.27, 22.15, 22.04, 21.92, 21.80, 21.69, 21.57, 21.46, 21.34, yes
24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.86, 24.78, 24.66, 24.53, 24.41, 24.28, 24.15, 24.03, 23.90, 23.78, 23.65, 23.53, 23.40, 23.27, 23.15, 23.02, 22.90, no
25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 25.06, 24.97, 24.82, 24.67, 24.52, 24.37, 24.22, 24.07, 23.92, 23.77, 23.62, 23.47, 23.32, 23.17, 23.02, yes
24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.61, 24.57, 24.45, 24.33, 24.21, 24.09, 23.97, 23.85, 23.73, 23.61, 23.49, 23.37, 23.25, 23.13, 23.01, 22.89, 22.77, 22.65, yes
25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.51, 25.42, 25.27, 25.12, 24.98, 24.83, 24.68, 24.53, 24.38, 24.23, 24.08, 23.93, 23.78, 23.63, 23.49, no
23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.23, 23.18, 23.14, 23.09, 23.05, 23.00, 22.96, 22.91, 22.87, 22.83, 22.78, 22.74, 22.69, 22.65, yes
24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.12, 24.04, 23.91, 23.78, 23.65, 23.52, 23.39, 23.26, 23.13, 22.99, 22.86, 22.73, 22.60, 22.47, 22.34, yes
22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.12, 22.08, 22.03, 21.98, 21.93, 21.88, 21.83, 21.78, 21.73, 21.68, 21.63, 21.58, 21.53, 21.48, 21.43, 21.39, 21.34, 21.29, yes
25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.37, 25.23, 25.09, 24.94, 24.80, 24.66, 24.52, no
22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.52, 22.49, 22.46, 22.42, 22.39, 22.35, 22.32, 22.28, 22.25, 22.21, 22.18, 22.15, 22.11, 22.08, 22.04, 22.01, 21.97, 21.94, yes
25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.13, 25.01, 24.88, 24.75, 24.62, 24.49, 24.36, 24.23, 24.10, 23.97, no
25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.48, 25.37, 25.23, 25.09, 24.94, 24.80, 24.66, 24.52, no
22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.57, 22.51, 22.40, 22.29, 22.17, 22.06, 21.94, 21.83, 21.72, 21.60, 21.49, 21.37, 21.26, 21.15, 21.03, 20.92, 20.80, 20.69, yes
23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.92, 23.77, 23.63, 23.48, 23.33, 23.18, 23.03, 22.89, 22.74, 22.59, 22.44, 22.30, 22.15, 22.00, yes
24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.94, 24.87, 24.73, 24.59, 24.45, 24.32, 24.18, 24.04, 23.90, 23.76, 23.62, 23.48, 23.34, 23.20, 23.06, 22.92, 22.78, yes
23.16, 23.16, 23.16, 23.16, 23.16, 23.16, 23.16, 23.16, 23.16, 23.16, 23.16, 23.15, 23.14, 23.13, 23.12, 23.11, 23.10, 23.09, 23.08, 23.07, 23.07, 23.06, 23.05, 23.04, 23.03, 23.02, 23.01, 23.00, 22.99, 22.98, yes
25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.47, 25.43, 25.29, 25.16, 25.02, 24.89, 24.75, 24.62, 24.48, 24.35, no
22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, 22.02, yes
24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.58, 24.51, 24.38, 24.25, 24.12, 23.99, 23.86, 23.73, 23.60, 23.47, 23.34, no
22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.92, 22.90, 22.85, 22.80, 22.75, 22.70, 22.65, 22.60, 22.55, 22.50, 22.46, 22.41, 22.36, 22.31, 22.26, 22.21, 22.16, 22.11, yes
